,Size,Mouth,Lung,Trachea,Product,Inlet,Flowrate,Flow,RampTimeInhalation,BolusDelay,DeviceType,inlet,InhalationProfile
44,1.5117e-05,0.9530837565584515,0.046671079303887364,0.00024516413766125303,PT010,large,15,trapezoid,"0,4",0,dfp,,
45,1.545e-05,0.9568833069137911,0.04267772222899645,0.0004389708572124103,PT010,large,15,trapezoid,"0,4",0,dfp,,
46,1.5782e-05,0.9602036392501364,0.0395795524891199,0.0002168082607437494,PT010,large,15,trapezoid,"0,4",0,dfp,,
47,1.6114e-05,0.962358337847273,0.03730833940121663,0.0003333227515104981,PT010,large,15,trapezoid,"0,4",0,dfp,,
48,1.6446e-05,0.9662375269027588,0.03350420661318724,0.0002582664840539601,PT010,large,15,trapezoid,"0,4",0,dfp,,
49,1.6779e-05,0.970225626637471,0.029681618305324894,9.275505720414049e-05,PT010,large,15,trapezoid,"0,4",0,dfp,,
50,1.7111e-05,0.9736261723609002,0.026007524477445622,0.0003663031616541208,PT010,large,15,trapezoid,"0,4",0,dfp,,
51,1.7443e-05,0.9747036289865587,0.024820364032005705,0.000476006981435613,PT010,large,15,trapezoid,"0,4",0,dfp,,
52,1.7775e-05,0.9765653112531844,0.023209787703180267,0.00022490104363543758,PT010,large,15,trapezoid,"0,4",0,dfp,,
53,1.8107e-05,0.9805578910363046,0.019151928232893876,0.0002901807308014224,PT010,large,15,trapezoid,"0,4",0,dfp,,
54,1.844e-05,0.981025938657976,0.018750837090941466,0.00022322425108253758,PT010,large,15,trapezoid,"0,4",0,dfp,,
55,1.8772e-05,0.9830067869460221,0.016904591343135857,8.862171084212784e-05,PT010,large,15,trapezoid,"0,4",0,dfp,,
56,1.9104e-05,0.9826208549740312,0.017024015625693507,0.0003551294002751675,PT010,large,15,trapezoid,"0,4",0,dfp,,
57,1.9436e-05,0.9845317602583091,0.015159316266107913,0.0003089234755828872,PT010,large,15,trapezoid,"0,4",0,dfp,,
58,1.9768e-05,0.9850514477223217,0.014705665903890401,0.00024288637378796813,PT010,large,15,trapezoid,"0,4",0,dfp,,
59,2.0101e-05,0.9858801172605809,0.013677945877465604,0.00044193686195354937,PT010,large,15,trapezoid,"0,4",0,dfp,,
60,2.0433e-05,0.9868018658572403,0.012888630159512412,0.0003095039832472683,PT010,large,15,trapezoid,"0,4",0,dfp,,
61,2.0765e-05,0.9876398531817981,0.011984256843408545,0.0003758899747931433,PT010,large,15,trapezoid,"0,4",0,dfp,,
62,2.1097e-05,0.9879599547020209,0.011753377552789218,0.00028666774518988354,PT010,large,15,trapezoid,"0,4",0,dfp,,
63,2.143e-05,0.9887188997107244,0.010994105565673947,0.00028699472360184603,PT010,large,15,trapezoid,"0,4",0,dfp,,
64,2.1762e-05,0.9899960249105605,0.009694801466366313,0.00030917362307314277,PT010,large,15,trapezoid,"0,4",0,dfp,,
65,2.2094e-05,0.9892753111483804,0.010504016241503995,0.00022067261011559757,PT010,large,15,trapezoid,"0,4",0,dfp,,
66,2.2426e-05,0.9894695787831514,0.010243428605068656,0.00028699261177985813,PT010,large,15,trapezoid,"0,4",0,dfp,,
67,2.2758e-05,0.9906156156156157,0.009097332626744305,0.0002870517576399217,PT010,large,15,trapezoid,"0,4",0,dfp,,
68,2.3091e-05,0.9908734660063928,0.008861356250451589,0.000265177743155608,PT010,large,15,trapezoid,"0,4",0,dfp,,
69,2.3423e-05,0.9913402335848334,0.008393993532859837,0.0002657728823068763,PT010,large,15,trapezoid,"0,4",0,dfp,,
70,2.3755e-05,0.9929044257637446,0.006897864737412432,0.00019770949884293377,PT010,large,15,trapezoid,"0,4",0,dfp,,
71,2.4087e-05,0.9927042587790621,0.007185865600140562,0.0001098756207972575,PT010,large,15,trapezoid,"0,4",0,dfp,,
72,2.4419e-05,0.9941924229260507,0.00552051052656788,0.00028706654738144214,PT010,large,15,trapezoid,"0,4",0,dfp,,
73,2.4752e-05,0.9942102859499994,0.00559083074293959,0.0001988833070610046,PT010,large,15,trapezoid,"0,4",0,dfp,,
74,2.5084e-05,0.9965161375169506,0.0034400403134513154,4.38221695981068e-05,PT010,large,15,trapezoid,"0,4",0,dfp,,
75,2.5416e-05,0.9970807939725378,0.0028314103574634073,8.779566999886669e-05,PT010,large,15,trapezoid,"0,4",0,dfp,,
76,2.5748e-05,0.9979644397112424,0.001969897053636466,6.56632351212171e-05,PT010,large,15,trapezoid,"0,4",0,dfp,,
77,2.6081e-05,0.9986021317490829,0.0013760265594966543,2.184169142058362e-05,PT010,large,15,trapezoid,"0,4",0,dfp,,
0,5e-07,0.024062777847676572,0.9759372221523234,0.0,PT010,large,15,,"0,4",0,nondfp,0.0,trapezoid
