,Size,nozzle,inlet,Mouth,Lung,Trachea,Product,Inlet,Flowrate,Flow,RampTimeInhalation,BolusDelay,DeviceType,InhalationProfile
36,1.246e-05,0.0002857505715011,9.525019050038098e-05,0.7198682485369831,0.28013175146301694,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,
37,1.2792e-05,0.0005702518604308,0.0002090923488246,0.732051749271137,0.26794825072886297,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,
38,1.3124e-05,0.0005896525494933,0.0001521683998692,0.7499128616242596,0.2500871383757404,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,
39,1.3456e-05,0.000627432091799,9.506546845440162e-05,0.7637775551102206,0.23622244488977948,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,
40,1.3789e-05,0.0006461871784961,0.0001140330314993,0.7885791438328966,0.21142085616710332,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,
41,1.4121e-05,0.0004753454171981,3.802763337585118e-05,0.7988335966562368,0.20116640334376332,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,
42,1.4453e-05,0.0007025894535626,0.0001329223290523,0.8111836794598959,0.1888163205401041,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,
43,1.4785e-05,0.0006647252459865,5.697644965598857e-05,0.8261831679634524,0.17381683203654766,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,
44,1.5117e-05,0.0008355276475993,5.696779415449896e-05,0.8305084745762713,0.1694915254237287,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,
45,1.545e-05,0.0006262770684819,9.48904649215018e-05,0.8462262248807044,0.1537065663014987,6.720881779689498e-05,PT010,large,15,trapezoid,"0,4",0,dfp,
46,1.5782e-05,0.0008154235134547,3.792667504440693e-05,0.8565239881029357,0.14347601189706433,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,
47,1.6114e-05,0.0007579154785815,3.789577392907511e-05,0.8664652697049587,0.13353473029504126,0.0,PT010,large,15,trapezoid,"0,4",0,dfp,
48,1.6446e-05,0.0005496553597715,1.895363309557054e-05,0.8773175059658572,0.12256011748149033,0.00012237655265251186,PT010,large,15,trapezoid,"0,4",0,dfp,
49,1.6779e-05,0.0008898762371678,0.0,0.879647397457424,0.12017270328615967,0.00017989925641640687,PT010,large,15,trapezoid,"0,4",0,dfp,
50,1.7111e-05,0.0007571264536508,0.0,0.8890104196649589,0.11087444591560632,0.00011513441943469001,PT010,large,15,trapezoid,"0,4",0,dfp,
51,1.7443e-05,0.0006435818494306,3.785775584885966e-05,0.8975984737964317,0.1021209740769833,0.00028055212658511966,PT010,large,15,trapezoid,"0,4",0,dfp,
52,1.7775e-05,0.0007379049802624,1.8920640519549216e-05,0.9034627492130117,0.09626111448611009,0.0002761363008781134,PT010,large,15,trapezoid,"0,4",0,dfp,
53,1.8107e-05,0.00071848135779,5.6722212457111e-05,0.9147909095839887,0.08493789662092527,0.0002711937950859686,PT010,large,15,trapezoid,"0,4",0,dfp,
54,1.844e-05,0.0006050483708627,1.8907761589461275e-05,0.9199317977290384,0.07970283237793901,0.0003653698930225622,PT010,large,15,trapezoid,"0,4",0,dfp,
55,1.8772e-05,0.0006803963945109,1.889989984752616e-05,0.9235890607395267,0.07600122913039023,0.00040971013008294136,PT010,large,15,trapezoid,"0,4",0,dfp,
56,1.9104e-05,0.0004909056580023,0.0,0.9249987373524808,0.07444569773901905,0.0005555649085001321,PT010,large,15,trapezoid,"0,4",0,dfp,
57,1.9436e-05,0.00067963853247,3.775769624833488e-05,0.934997805627347,0.06436826449505044,0.0006339298776025719,PT010,large,15,trapezoid,"0,4",0,dfp,
58,1.9768e-05,0.000490627751223,1.8870298123964176e-05,0.9388903013021811,0.060204016735838854,0.0009056819619801101,PT010,large,15,trapezoid,"0,4",0,dfp,
59,2.0101e-05,0.0005471870181688,0.0,0.9449741296406716,0.05415073793865653,0.0008751324206718087,PT010,large,15,trapezoid,"0,4",0,dfp,
60,2.0433e-05,0.000660472898927,0.0,0.9464406881631134,0.05288077325787221,0.000678538579014378,PT010,large,15,trapezoid,"0,4",0,dfp,
61,2.0765e-05,0.0006978586420926,5.658313314264498e-05,0.95016275182546,0.049001495557314895,0.0008357526172251815,PT010,large,15,trapezoid,"0,4",0,dfp,
62,2.1097e-05,0.000546372587425,0.0,0.9525899537265653,0.04702529386905174,0.00038475240438302374,PT010,large,15,trapezoid,"0,4",0,dfp,
